Entry,Spoken,IPA,Written,Script Version,Script,Mandarin,English
173,asevem,asɯvɯm,axubumbi,ᠠᡧᡠᠪᡠᠮᠪᡳ,,使口含,causative form of asem (= axumbi)
174,ash ,asχ,asha,ᠠᠰᡥᠠ,,翅膀,wing
175,ashen ,asχɯn,asihan,ᠠᠰᡳᡥᠠᠨ,,年轻,"young, younger (than)"
176,ashen bo,asχɯn bɔ,ashan boo,ᠠᠰᡥᠠᠨ ᠪᠣᠣ,,厢房,"wing, side room"
177,ashen nan,asχɯn nan,asihan nane,ᠠᠰᡳᡥᠠᠨ ᠨᠠᠨᡝ,,青年人,young person
178,asheN siNer,asχɯŋ ɕiŋɯr,ashangga singgeri,ᠠᠰᡥᠠᠩᡤᠠ ᠰᡳᠩᡤᡝᡵᡳ,,蝙蝠,bat
179,asyha,asʲχa,asiha,ᠠᠰᡳᡥᠠ,,青春,young adulthood
180,asyhas,asʲχas,asihasa,ᠠᠰᡳ᠍ᡥᠠᠰᠠ,,青年人们,young people
181,asyhat,asʲχat,"asihata
",ᠠᠰᡳᡥᠠᡨ᠋ᠠ,,青年,youth
182,asyhatas,asʲχatas,asihatasa,ᠠᠰᡳᡥᠠᡨ᠋ᠠᠰᠠ,,青年们,young people
183,ava,ava,aba,ᠠᠪᠠ,,哪个地方,where
184,aved genem ,avɯd ɡɯnɯm,aba de genembi,ᠠᠪᠠ ᡩ᠋ᡝ᠋ ᡤᡝᠨᡝᠮᠪᡳ,,去打围,to go hunting
185,avelem,avɯlɯm,abalambi,ᠠᠪᠠᠯᠠᠮᠪᡳ,,打猎,to hunt
186,aveRa,avɯʁa,abuha,ᠠᠪᡠᡥᠠ,,藻,algae
187,avesy,avɯsʲ,abasi,ᠠᠪᠠᠰᡳ,,猎人,hunter
188,avevem,avɯvɯm,afabumbi,ᠠᡶᠠᠪᡠᠮᠪᡳ,,"托付, 嘱咐","to entrust; to command, to tell on"
189,awdulm,ɑwduɹm,akdulambi,ᠠᡴᡩᡠ᠋ᠯᠠᠮᠪᡳ,,加固,to strengthen; to reinforce
